,title,category,price,stars
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,2
96,"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,40.11,1
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,53.90,2
98,Join,Science Fiction,35.67,5
99,In the Country We Love: My Family Divided,Nonfiction,22.00,4
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,57.36,5
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,2
102,I am a Hero Omnibus Volume 1,Sequential Art,54.63,3
103,How to Be Miserable: 40 Strategies You Already Use,Self Help,46.03,1
104,Her Backup Boyfriend (The Sorensen Family #1),Romance,33.97,1
105,"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,2
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3
107,First and First (Five Boroughs #3),Romance,15.97,4
108,Fifty Shades Darker (Fifty Shades #2),Romance,21.96,1
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,54.35,2
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,37.97,2
111,Danganronpa Volume 1,Sequential Art,51.99,4
112,Crown of Midnight (Throne of Glass #2),Fantasy,43.29,3
113,"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,4
114,Camp Midnight,Sequential Art,17.08,4
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,29.14,5
116,Burning,Young Adult,28.81,3
117,Bossypants,Default,49.46,2
118,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,2
119,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,28.09,2
120,Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,30.81,1
121,A World of Flavor: Your Gluten Free Passport,Default,42.95,1
122,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,56.76,5
123,A Murder in Time,Mystery,16.64,1
124,A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5
125,A Fierce and Subtle Poison,Young Adult,28.13,4
126,A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,52.37,1
127,(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,54.00,5
128,You Are What You Love: The Spiritual Power of Habit,Religion,21.87,4
129,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,43.30,4
130,Tuesday Nights in 1980,Fiction,21.04,2
131,Tracing Numbers on a Train,Default,41.60,3
132,Throne of Glass (Throne of Glass #1),Fantasy,35.07,3
133,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,59.64,1
134,Thirteen Reasons Why,Default,52.72,1
135,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,58.08,4
136,The Wedding Dress,Romance,24.12,1
137,The Vacationers,Fiction,42.15,4
138,The Third Wave: An Entrepreneur’s Vision of the Future,Business,12.61,5
139,The Stranger,Philosophy,17.44,4
140,The Shadow Hero (The Shadow Hero),Sequential Art,33.14,1
141,The Secret (The Secret #1),Default,27.37,4
142,The Regional Office Is Under Attack!,Fiction,51.36,5
143,The Psychopath Test: A Journey Through the Madness Industry,Default,36.00,2
144,The Project,Science Fiction,10.65,1
145,The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,43.54,2
146,The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,38.21,2
147,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,37.34,5
148,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.10,4
149,The Mistake (Off-Campus #2),New Adult,43.29,3
150,The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,55.85,1
151,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,37.60,2
152,The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,10.97,1
153,The Kite Runner,Default,41.82,4
154,The House by the Lake,Historical Fiction,36.95,1
155,The Glittering Court (The Glittering Court #1),Fantasy,44.28,1
156,The Girl on the Train,Default,55.02,2
157,The Genius of Birds,Nonfiction,17.24,1
158,The Emerald Mystery,Default,23.15,2
159,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,41.25,1
160,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,32.00,3
161,The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,38.49,5
162,The Art of War,Default,33.34,5
163,The Argonauts,Autobiography,10.93,2
164,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,27.55,3
165,Suddenly in Love (Lake Haven #1),Romance,55.99,2
166,Something More Than This,Romance,16.24,4
167,Soft Apocalypse,Science Fiction,26.12,2
168,So You've Been Publicly Shamed,Nonfiction,12.23,2
169,Shoe Dog: A Memoir by the Creator of NIKE,Business,23.99,2
170,"Shobu Samurai, Project Aryoku (#3)",Add a comment,29.06,3
171,Secrets and Lace (Fatal Hearts #1),Default,20.27,1
172,Scarlett Epstein Hates It Here,Young Adult,43.55,5
173,Romero and Juliet: A Tragic Tale of Love and Zombies,Default,36.94,1
174,Redeeming Love,Christian Fiction,20.47,5
175,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,41.06,1
176,Poems That Make Grown Women Cry,Poetry,14.19,4
177,"Nightingale, Sing",Young Adult,38.28,1
178,Night Sky with Exit Wounds,Poetry,41.05,1
179,Mrs. Houdini,Historical Fiction,30.25,5
180,Modern Romance,Add a comment,28.26,5
181,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),Default,10.76,1
182,Louisa: The Extraordinary Life of Mrs. Adams,Biography,16.85,2
183,Little Red,Childrens,13.47,3
184,Library of Souls (Miss Peregrine’s Peculiar Children #3),Young Adult,48.56,5
185,Large Print Heart of the Pride,Default,19.15,2
186,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,57.36,4
187,Hollow City (Miss Peregrine’s Peculiar Children #2),Fantasy,42.98,1
188,Grumbles,Default,22.16,2
189,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4
190,Frostbite (Vampire Academy #2),Young Adult,29.99,5
191,Follow You Home,Horror,21.36,1
192,First Steps for New Christians (Print Edition),Default,29.00,1
193,Finders Keepers (Bill Hodges Trilogy #2),Fiction,53.53,5
194,"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62,4
195,Eureka Trivia 6.0,Default,54.59,4
196,Drive: The Surprising Truth About What Motivates Us,Default,34.95,4
197,Done Rubbed Out (Reightman & Bailey #1),Default,37.72,5
198,Doing It Over (Most Likely To #1),Romance,35.61,3
199,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,42.16,3
200,Dark Notes,Erotica,19.19,5
201,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,19.43,3
202,Close to You,Christian Fiction,49.46,4
203,Chasing Heaven: What Dying Taught Me About Living,Spirituality,37.80,2
204,Big Magic: Creative Living Beyond Fear,Nonfiction,30.80,3
205,Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,27.43,2
206,Beauty Restored (Riley Family Legacy Novellas #3),Default,11.11,2
207,Batman: The Long Halloween (Batman),Sequential Art,36.50,2
208,Batman: The Dark Knight Returns (Batman),Sequential Art,15.38,5
209,Ayumi's Violin,Default,15.48,2
210,Anonymous,Default,46.82,4
211,Amy Meets the Saints and Sages,Default,18.46,3
212,Amid the Chaos,Cultural,36.58,1
213,Amatus,Default,50.54,5
214,Agnostic: A Spirited Manifesto,Nonfiction,12.51,5
215,Zealot: The Life and Times of Jesus of Nazareth,History,24.70,3
216,You (You #1),Thriller,43.61,5
217,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,37.34,4
218,Wild Swans,Young Adult,14.36,2
219,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Politics,52.65,4
220,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,38.20,4
221,What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,19.60,2
222,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,53.90,1
223,Walt Disney's Alice in Wonderland,Childrens,12.96,5
224,V for Vendetta (V for Vendetta Complete),Default,37.10,4
225,Until Friday Night (The Field Party #1),Young Adult,46.31,2
226,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Default,45.95,2
227,Twenty Yawns,Childrens,22.08,2
228,Through the Woods,Sequential Art,25.38,2
229,This Is Where It Ends,Young Adult,27.12,2
230,The Year of Magical Thinking,Nonfiction,43.04,2
231,The Wright Brothers,Default,56.80,4
232,The White Queen (The Cousins' War #1),Add a comment,25.91,5
233,The Wedding Pact (The O'Malleys #2),Romance,32.61,3
234,The Time Keeper,Fiction,27.88,5
235,The Testament of Mary,Fiction,52.67,4
236,The Star-Touched Queen,Fantasy,46.02,5
237,The Songs of the Gods,Default,44.48,5
238,The Song of Achilles,Add a comment,37.40,5
239,The Rosie Project (Don Tillman #1),Default,54.04,1
240,The Power of Habit: Why We Do What We Do in Life and Business,Default,16.88,3
241,The Marriage of Opposites,Historical Fiction,28.08,4
242,The Lucifer Effect: Understanding How Good People Turn Evil,Psychology,10.40,1
243,The Long Haul (Diary of a Wimpy Kid #9),Humor,44.07,1
244,The Loney,Horror,23.40,1
245,The Literature Book (Big Ideas Simply Explained),Nonfiction,17.43,3
246,The Last Mile (Amos Decker #2),Mystery,54.21,2
247,The Immortal Life of Henrietta Lacks,Add a comment,40.67,2
248,The Hidden Oracle (The Trials of Apollo #1),Fantasy,52.26,2
249,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,28.77,3
250,The Guilty (Will Robie #4),Thriller,13.82,2
251,The First Hostage (J.B. Collins #2),Fiction,25.85,3
252,The Dovekeepers,Add a comment,48.78,1
253,The Darkest Lie,Young Adult,35.35,5
254,The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,44.73,4
255,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,Nonfiction,15.77,1
256,The 14th Colony (Cotton Malone #11),Thriller,39.24,1
257,That Darkness (Gardiner and Renner #1),Mystery,13.92,1
258,Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1
259,Take Me with You,Fiction,45.21,3
260,Swell: A Year of Waves,Nonfiction,45.58,1
261,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89,5
262,Still Life with Bread Crumbs,Fiction,26.41,3
263,Steve Jobs,Default,39.50,5
264,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,44.74,4
265,Someone Like You (The Harrisons #2),Contemporary,52.79,5
266,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,35.43,4
267,Shtum,Fiction,55.84,4
268,See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3
269,salt.,Poetry,46.78,4
270,Robin War,Sequential Art,47.82,3
271,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,25.48,2
272,Rain Fish,Childrens,23.57,3
273,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,50.89,5
274,Pet Sematary,Horror,10.56,3
275,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Self Help,52.15,3
276,Once Was a Time,Childrens,18.28,2
277,Old School (Diary of a Wimpy Kid #10),Humor,11.83,5
278,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,21.95,2
279,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,38.39,2
280,My Name Is Lucy Barton,Fiction,41.56,1
281,My Mrs. Brown,Fiction,24.48,3
282,My Kind of Crazy,Young Adult,40.36,1
283,Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,28.90,1
284,More Than Music (Chasing the Dream #1),Add a comment,37.61,2
285,Made to Stick: Why Some Ideas Survive and Others Die,Business,38.85,5
286,Luis Paints the World,Childrens,53.95,3
287,Luckiest Girl Alive,Default,49.83,3
288,Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,51.51,2
289,Love Is a Mix Tape (Music #1),Music,18.03,1
290,Looking for Lovely: Collecting the Moments that Matter,Nonfiction,29.14,5
291,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Default,46.91,4
292,Let It Out: A Journey Through Journaling,Nonfiction,26.79,5
293,Lady Midnight (The Dark Artifices #1),Default,16.28,5
294,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,19.55,1
295,Island of Dragons (Unwanteds #7),Fantasy,29.65,1
296,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Humor,25.98,4
297,I Am Pilgrim (Pilgrim #1),Fiction,10.60,4
298,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,14.75,5
299,"Hush, Hush (Hush, Hush #1)",Default,47.02,3
300,Hold Your Breath (Search and Rescue #1),Romance,28.82,1
301,Hamilton: The Revolution,Nonfiction,58.79,3
302,Greek Mythic History,Default,10.23,5
303,God: The Most Unpleasant Character in All Fiction,Religion,30.03,5
304,Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3
305,Feathers: Displays of Brilliant Plumage,Art,49.05,3
306,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,15.06,4
307,Every Last Word,Default,46.47,3
308,Eligible (The Austen Project #4),Fiction,27.09,3
309,El Deafo,Sequential Art,57.62,5
310,Eight Hundred Grapes,Fiction,14.39,4
311,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,51.75,5
312,"Eat Fat, Get Thin",Health,54.07,2
313,Don't Get Caught,Young Adult,55.35,1
314,Doctor Sleep (The Shining #2),Horror,40.12,2
315,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,37.51,5
316,Dear Mr. Knightley,Fiction,11.21,5
317,Daily Fantasy Sports,Default,36.58,1
318,Crazy Love: Overwhelmed by a Relentless God,Christian,47.72,2
319,Cometh the Hour (The Clifton Chronicles #6),Fiction,25.01,3
320,Code Name Verity (Code Name Verity #1),Add a comment,22.13,4
321,Clockwork Angel (The Infernal Devices #1),Default,44.14,1
322,City of Glass (The Mortal Instruments #3),Fantasy,56.02,4
323,City of Fallen Angels (The Mortal Instruments #4),Default,11.23,4
324,City of Bones (The Mortal Instruments #1),Default,43.28,1
325,City of Ashes (The Mortal Instruments #2),Default,47.27,1
326,Cell,Add a comment,20.29,4
327,Catching Jordan (Hundred Oaks),Young Adult,50.83,3
328,"Carry On, Warrior: Thoughts on Life Unarmed",Default,31.85,3
329,Carrie,Default,46.23,2
330,Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,37.80,4
331,Brain on Fire: My Month of Madness,Nonfiction,49.32,5
332,Batman: Europa,Sequential Art,32.01,2
333,Barefoot Contessa Back to Basics,Food and Drink,28.01,1
334,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Food and Drink,50.62,5
335,Balloon Animals,Fiction,17.03,3
336,Art Ops Vol. 1,Sequential Art,48.80,3
337,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,58.14,4
338,Angels Walking (Angels Walking #1),Add a comment,34.20,2
339,Angels & Demons (Robert Langdon #1),Default,51.48,3
340,All the Light We Cannot See,Historical,29.87,5
341,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,10.90,2
342,Abstract City,Nonfiction,56.37,5
343,A Time of Torment (Charlie Parker #14),Mystery,48.35,5
344,A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2
345,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Add a comment,56.48,2
346,A People's History of the United States,Add a comment,40.79,2
347,A Man Called Ove,Fiction,39.72,1
348,A Distant Mirror: The Calamitous 14th Century,History,14.58,3
349,A Brush of Wings (Angels Walking #3),Add a comment,55.51,1
350,1491: New Revelations of the Americas Before Columbus,History,21.80,3
351,"The Three Searches, Meaning, and the Story",Default,13.33,3
352,Searching for Meaning in Gailana,Fantasy,38.73,1
353,Rook,Add a comment,37.86,4
354,My Kitchen Year: 136 Recipes That Saved My Life,Food and Drink,11.53,2
355,13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,27.06,1
356,Will You Won't You Want Me?,Womens Fiction,13.86,3
357,Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,37.55,1
358,The Star-Touched Queen,Fantasy,32.30,5
359,The Silent Sister (Riley MacPherson #1),Fiction,46.29,5
360,The Midnight Watch: A Novel of the Titanic and the Californian,Add a comment,26.20,1
361,The Lonely City: Adventures in the Art of Being Alone,Nonfiction,33.26,2
362,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Add a comment,59.15,4
363,The Golden Condom: And Other Essays on Love Lost and Found,Psychology,39.43,1
364,The Epidemic (The Program 0.6),Young Adult,14.44,5
365,The Dinner Party,Fiction,56.54,2
366,The Diary of a Young Girl,Nonfiction,59.90,3
367,The Children,Add a comment,11.88,3
368,Stars Above (The Lunar Chronicles #4.5),Young Adult,48.05,2
369,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,21.21,3
370,Raspberry Pi Electronics Projects for the Evil Genius,Default,49.67,4
371,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,43.14,1
372,Psycho: Sanitarium (Psycho #1.5),Horror,36.97,5
373,Poisonous (Max Revere Novels #3),Mystery,26.80,3
374,One with You (Crossfire #5),Add a comment,15.71,4
375,No Love Allowed (Dodge Cove #1),Young Adult,54.65,4
376,Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4
377,Most Wanted,Mystery,35.28,3
378,"Love, Lies and Spies",Historical Fiction,20.55,2
379,How to Speak Golf: An Illustrated Guide to Links Lingo,Default,58.32,5
380,Hide Away (Eve Duncan #20),Mystery,11.84,1
381,Furiously Happy: A Funny Book About Horrible Things,Nonfiction,41.46,4
382,Everyday Italian: 125 Simple and Delicious Recipes,Food and Drink,20.10,5
383,Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,56.86,1
384,Eleanor & Park,Default,56.51,5
385,Dirty (Dive Bar #1),Romance,40.83,4
386,Can You Keep a Secret? (Fear Street Relaunch #4),Horror,48.64,1
387,Boar Island (Anna Pigeon #19),Mystery,59.48,3
388,A Paris Apartment,Historical Fiction,39.01,4
389,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,38.77,1
390,Troublemaker: Surviving Hollywood and Scientology,Default,48.39,2
391,The Widow,Mystery,27.26,2
392,"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,11.68,4
393,The Improbability of Love,Fiction,59.45,1
394,The Art of Startup Fundraising,Business,21.00,3
395,Take Me Home Tonight (Rock Star Romance #3),Romance,53.98,3
396,Sleeping Giants (Themis Files #1),Science Fiction,48.74,1
397,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Biography,21.15,2
398,Playing with Fire,Mystery,13.71,3
399,Off the Hook (Fishing for Trouble #1),Romance,47.67,3
400,Mothering Sunday,Fiction,13.34,2
401,"Mother, Can You Not?",Nonfiction,16.89,5
402,M Train,Autobiography,27.18,1
403,Lilac Girls,Historical Fiction,17.28,2
404,Lies and Other Acts of Love,Fiction,45.14,1
405,Lab Girl,Autobiography,40.85,1
406,Keep Me Posted,Womens Fiction,20.46,4
407,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Psychology,56.27,3
408,Grey (Fifty Shades #4),Womens Fiction,48.49,4
409,"Exit, Pursued by a Bear",Young Adult,51.34,4
410,Daredevils,Fiction,16.34,3
411,Cravings: Recipes for What You Want to Eat,Food and Drink,20.50,3
412,Born for This: How to Find the Work You Were Meant to Do,Business,21.59,5
413,Arena,Science Fiction,21.36,4
414,Adultery,Default,20.88,5
